,db_id,query,question
0,department_management,SELECT count(*) FROM head WHERE age  >  56,How many heads of the departments are older than 56 ?
1,department_management,"SELECT name ,  born_state ,  age FROM head ORDER BY age","List the name, born state and age of the heads of departments ordered by age."
2,department_management,"SELECT creation ,  name ,  budget_in_billions FROM department","List the creation year, name and budget of each department."
3,department_management,"SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department",What are the maximum and minimum budget of the departments?
4,department_management,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,What is the average number of employees of the departments whose rank is between 10 and 15?
5,department_management,SELECT name FROM head WHERE born_state != 'California',What are the names of the heads who are born outside the California state?
6,department_management,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?
7,department_management,SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,What are the names of the states where at least 3 heads were born?
8,department_management,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,In which year were most departments established?
9,department_management,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'",Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?
10,department_management,SELECT count(DISTINCT temporary_acting) FROM management,How many acting statuses are there?
11,department_management,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,How many departments are led by heads who are not mentioned?
12,department_management,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',What are the distinct ages of the heads who are acting?
13,department_management,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.
14,department_management,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","Which department has more than 1 head at a time? List the id, name and the number of heads."
15,department_management,"SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%'",Which head's name has the substring 'Ha'? List the id and name.
16,farm,SELECT count(*) FROM farm,How many farms are there?
17,farm,SELECT count(*) FROM farm,Count the number of farms.
18,farm,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,List the total number of horses on farms in ascending order.
19,farm,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,"What is the total horses record for each farm, sorted ascending?"
20,farm,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',"What are the hosts of competitions whose theme is not ""Aliens""?"
21,farm,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens',Return the hosts of competitions for which the theme is not Aliens?
22,farm,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,What are the themes of farm competitions sorted by year in ascending order?
23,farm,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,"Return the themes of farm competitions, sorted by year ascending."
24,farm,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,What is the average number of working horses of farms with more than 5000 total number of horses?
25,farm,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,Give the average number of working horses on farms with more than 5000 total horses.
26,farm,"SELECT max(Cows) ,  min(Cows) FROM farm",What are the maximum and minimum number of cows across all farms.
27,farm,"SELECT max(Cows) ,  min(Cows) FROM farm",Return the maximum and minimum number of cows across all farms.
28,farm,SELECT count(DISTINCT Status) FROM city,How many different statuses do cities have?
29,farm,SELECT count(DISTINCT Status) FROM city,Count the number of different statuses.
30,farm,SELECT Official_Name FROM city ORDER BY Population DESC,List official names of cities in descending order of population.
31,farm,SELECT Official_Name FROM city ORDER BY Population DESC,"What are the official names of cities, ordered descending by population?"
32,farm,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",List the official name and status of the city with the largest population.
33,farm,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",What is the official name and status of the city with the most residents?
34,farm,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",Show the years and the official names of the host cities of competitions.
35,farm,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",Give the years and official names of the cities of each competition.
36,farm,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,Show the official names of the cities that have hosted more than one competition.
37,farm,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,What are the official names of cities that have hosted more than one competition?
38,farm,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,Show the status of the city that has hosted the greatest number of competitions.
39,farm,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,What is the status of the city that has hosted the most competitions?
40,farm,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,Please show the themes of competitions with host cities having populations larger than 1000.
41,farm,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,What are the themes of competitions that have corresponding host cities with more than 1000 residents?
42,farm,"SELECT Status ,  avg(Population) FROM city GROUP BY Status",Please show the different statuses of cities and the average population of cities with each status.
43,farm,"SELECT Status ,  avg(Population) FROM city GROUP BY Status",What are the statuses and average populations of each city?
44,farm,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Please show the different statuses, ordered by the number of cities that have each."
45,farm,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,"Return the different statuses of cities, ascending by frequency."
46,farm,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,List the most common type of Status across cities.
47,farm,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,What is the most common status across all cities?
48,farm,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),List the official names of cities that have not held any competition.
49,farm,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),What are the official names of cities that have not hosted a farm competition?
50,farm,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,Show the status shared by cities with population bigger than 1500 and smaller than 500.
51,farm,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?
52,farm,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,Find the official names of cities with population bigger than 1500 or smaller than 500.
53,farm,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,What are the official names of cities that have population over 1500 or less than 500?
54,farm,"SELECT Census_Ranking FROM city WHERE Status !=  ""Village""","Show the census ranking of cities whose status are not ""Village""."
55,farm,"SELECT Census_Ranking FROM city WHERE Status !=  ""Village""","What are the census rankings of cities that do not have the status ""Village""?"
56,student_assessment,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,which course has most number of registered students?
57,student_assessment,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,What is the name of the course with the most registered students?
58,student_assessment,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,what is id of students who registered some courses but the least number of courses in these students?
59,student_assessment,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,What are the ids of the students who registered for some courses but had the least number of courses for all students?
60,student_assessment,"SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",what are the first name and last name of all candidates?
61,student_assessment,"SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",What are the first and last names of all the candidates?
62,student_assessment,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),List the id of students who never attends courses?
63,student_assessment,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),What are the  ids of every student who has never attended a course?
64,student_assessment,SELECT student_id FROM student_course_attendance,List the id of students who attended some courses?
65,student_assessment,SELECT student_id FROM student_course_attendance,What are the ids of all students who have attended at least one course?
66,student_assessment,"SELECT T1.student_id ,  T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id",What are the ids of all students for courses and what are the names of those courses?
67,student_assessment,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,What is detail of the student who most recently registered course?
68,student_assessment,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,What details do we have on the students who registered for courses most recently?
69,student_assessment,"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",How many students attend course English?
70,student_assessment,"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",How many students are attending English courses?
71,student_assessment,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,How many courses do the student whose id is 171 attend?
72,student_assessment,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,How many courses does the student with id 171 actually attend?
73,student_assessment,"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""",Find id of the candidate whose email is stanley.monahan@example.org?
74,student_assessment,"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""",What is the id of the candidate whose email is stanley.monahan@example.org?
75,student_assessment,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,Find id of the candidate who most recently accessed the course?
76,student_assessment,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,What is the id of the candidate who most recently accessed the course?
77,student_assessment,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,What is detail of the student who registered the most number of courses?
78,student_assessment,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,What are the details of the student who registered for the most number of courses?
79,student_assessment,"SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id",List the id of students who registered some courses and the number of their registered courses?
80,student_assessment,"SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id","For every student who is registered for some course, how many courses are they registered for?"
81,student_assessment,"SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id",How many registed students do each course have? List course name and the number of their registered students?
82,student_assessment,"SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id","For each course id, how many students are registered and what are the course names?"
83,student_assessment,"SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""","Find id of candidates whose assessment code is ""Pass""?"
84,student_assessment,"SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""",What are the ids of the candidates that have an outcome code of Pass?
85,student_assessment,"SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""","Find the cell mobile number of the candidates whose assessment code is ""Fail""?"
86,student_assessment,"SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""","What are the cell phone numbers of the candidates that received an assessment code of ""Fail""?"
87,student_assessment,SELECT student_id FROM student_course_attendance WHERE course_id  =  301,What are the id of students who registered course 301?
88,student_assessment,SELECT student_id FROM student_course_attendance WHERE course_id  =  301,What are the ids of the students who registered for course 301?
89,student_assessment,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,What is the id of the student who most recently registered course 301?
90,student_assessment,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,What are the ids of the students who registered for course 301 most recently?
91,student_assessment,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,Find distinct cities of addresses of people?
92,student_assessment,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,What are the different cities where people live?
